ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Apurimac-102_2plpossessor-1,,Apurimac,102_2plpossessor,ykichis ,ykichis,j k i tʃ i s,,camacho2006,,,^ y k i ch i s $,Apurimac
Apurimac-103_2plsubject1sobject-1,,Apurimac,103_2plsubject1sobject,"wankichis, waychis ",wankichis,w a n k i tʃ i s,,camacho2006,,,^ w a n k i ch i s $,Apurimac
Apurimac-103_2plsubject1sobject-2,,Apurimac,103_2plsubject1sobject,"wankichis, waychis ",waychis,w a j tʃ i s,,camacho2006,,,^ w a y ch i s $,Apurimac
Apurimac-104_2plverbal-1,,Apurimac,104_2plverbal,nkichis,nkichis,n k i tʃ i s,,camacho2006,,,^ n k i ch i s $,Apurimac
Apurimac-13_2spossessor-1,,Apurimac,13_2spossessor,ki ,ki,k i,,camacho2006,,,^ k i $,Apurimac
Apurimac-105_2ssubject1plobject-1,,Apurimac,105_2ssubject1plobject,"wankiku, wayku ",wankiku,w a n k i k u,,camacho2006,,,^ w a n k i k u $,Apurimac
Apurimac-105_2ssubject1plobject-2,,Apurimac,105_2ssubject1plobject,"wankiku, wayku ",wayku,w a j k u,,camacho2006,,,^ w a y k u $,Apurimac
Apurimac-14_2ssubject1sobject-1,,Apurimac,14_2ssubject1sobject,"wanki, way ",wanki,w a n k i,,camacho2006,,,^ w a n k i $,Apurimac
Apurimac-14_2ssubject1sobject-2,,Apurimac,14_2ssubject1sobject,"wanki, way ",way,w a j,,camacho2006,,,^ w a y $,Apurimac
Apurimac-15_2sverbal-1,,Apurimac,15_2sverbal,nki,nki,n k i,,camacho2006,,,^ n k i $,Apurimac
Apurimac-106_3plpossessor-1,,Apurimac,106_3plpossessor,nku,nku,n k u,,camacho2006,,,^ n k u $,Apurimac
Apurimac-107_3plverbal-1,,Apurimac,107_3plverbal,"nku,nqaku",nku,n k u,,camacho2006,,,^ n k u $,Apurimac
Apurimac-107_3plverbal-2,,Apurimac,107_3plverbal,"nku,nqaku",nqaku,n q a k u,,camacho2006,,,^ n q a k u $,Apurimac
Apurimac-16_3sfuture-1,,Apurimac,16_3sfuture,nqa,nqa,n q a,,camacho2006,,,^ n q a $,Apurimac
Apurimac-17_3spossessor-1,,Apurimac,17_3spossessor,n ,n,n,,camacho2006,,,^ n $,Apurimac
Apurimac-18_3ssubject1plobject-1,,Apurimac,18_3ssubject1plobject,"wanchis, wanku, wanqaku  ",wanchis,w a n tʃ i s,,camacho2006,,,^ w a n ch i s $,Apurimac
Apurimac-18_3ssubject1plobject-2,,Apurimac,18_3ssubject1plobject,"wanchis, wanku, wanqaku  ",wanku,w a n k u,,camacho2006,,,^ w a n k u $,Apurimac
Apurimac-18_3ssubject1plobject-3,,Apurimac,18_3ssubject1plobject,"wanchis, wanku, wanqaku  ",wanqaku,w a n q a k u,,camacho2006,,,^ w a n q a k u $,Apurimac
Apurimac-19_3ssubject1sobject-1,,Apurimac,19_3ssubject1sobject,"wan, wanqa",wan,w a n,,camacho2006,,,^ w a n $,Apurimac
Apurimac-19_3ssubject1sobject-2,,Apurimac,19_3ssubject1sobject,"wan, wanqa",wanqa,w a n q a,,camacho2006,,,^ w a n q a $,Apurimac
Apurimac-20_3ssubject2sobject-1,,Apurimac,20_3ssubject2sobject,sunki ,sunki,s u n k i,,camacho2006,,,^ s u n k i $,Apurimac
Apurimac-21_3sverbal-1,,Apurimac,21_3sverbal,n,n,n,,camacho2006,,,^ n $,Apurimac
Apurimac-22_ablative-1,,Apurimac,22_ablative,manta,manta,m a n t a,,camacho2006,,,^ m a n t a $,Apurimac
Apurimac-23_accompaniment-1,,Apurimac,23_accompaniment,ysi,ysi,j s i,,camacho2006,,,^ y s i $,Apurimac
Apurimac-24_accusative-1,,Apurimac,24_accusative,ta ,ta,t a,,camacho2006,,,^ t a $,Apurimac
Apurimac-25_additive-1,,Apurimac,25_additive,pas ,pas,p a s,,camacho2006,,,^ p a s $,Apurimac
Apurimac-26_agentive-1,,Apurimac,26_agentive,q ,q,q,,camacho2006,,,^ q $,Apurimac
Apurimac-108_augmentative-1,,Apurimac,108_augmentative,"su, sara",su,s u,,camacho2006,,,^ s u $,Apurimac
Apurimac-108_augmentative-2,,Apurimac,108_augmentative,"su, sara",sara,s a r a,,camacho2006,,,^ s a r a $,Apurimac
Apurimac-27_benefactive-1,,Apurimac,27_benefactive,paq,paq,p a q,,camacho2006,,,^ p a q $,Apurimac
Apurimac-28_causative-1,,Apurimac,28_causative,chi ,chi,tʃ i,,camacho2006,,,^ ch i $,Apurimac
Apurimac-29_certainty-1,,Apurimac,29_certainty,puni ,puni,p u n i,,camacho2006,,,^ p u n i $,Apurimac
Apurimac-30_cislocative-1,,Apurimac,30_cislocative,mu ,mu,m u,,camacho2006,,,^ m u $,Apurimac
Apurimac-30_cislocative-2,,Apurimac,30_cislocative,mu ,mu,m u,,camacho2006,,,^ m u $,Apurimac
Apurimac-32_conditional-1,,Apurimac,32_conditional,man ,man,m a n,,camacho2006,,,^ m a n $,Apurimac
Apurimac-33_continuative-1,,Apurimac,33_continuative,raq,raq,r a q,,camacho2006,,,^ r a q $,Apurimac
Apurimac-33_continuative-2,,Apurimac,33_continuative,raya ,raya,r a j a,,camacho2006,,,^ r a y a $,Apurimac
Apurimac-34_dativeilative-1,,Apurimac,34_dativeilative,man,man,m a n,,camacho2006,,,^ m a n $,Apurimac
Apurimac-35_desirative-1,,Apurimac,35_desirative,naya ,naya,n a j a,,camacho2006,,,^ n a y a $,Apurimac
Apurimac-37_diminutive-1,,Apurimac,37_diminutive,cha,cha,tʃ a,,camacho2006,,,^ ch a $,Apurimac
Apurimac-40_distaldemonstrative-1,,Apurimac,40_distaldemonstrative,chay,chay,tʃ a j,,camacho2006,,,^ ch a y $,Apurimac
Apurimac-41_distalremoveddemonstrative-1,,Apurimac,41_distalremoveddemonstrative,haqay,haqay,h a q a j,,camacho2006,,,^ h a q a y $,Apurimac
Apurimac-42_durative-1,,Apurimac,42_durative,chka ,chka,tʃ k a,,camacho2006,,,^ ch k a $,Apurimac
Apurimac-42_durative-2,,Apurimac,42_durative,ykacha,ykacha,j k a tʃ a,,camacho2006,,,^ y k a ch a $,Apurimac
Apurimac-43_emphatic-1,,Apurimac,43_emphatic,ari,ari,a r i,,camacho2006,,,^ a r i $,Apurimac
Apurimac-44_evidentialconjectural-1,,Apurimac,44_evidentialconjectural,cha ,cha,tʃ a,,camacho2006,,,^ ch a $,Apurimac
Apurimac-45_evidentialdirect-1,,Apurimac,45_evidentialdirect,mi,mi,m i,,camacho2006,,,^ m i $,Apurimac
Apurimac-47_evidentialmodiferstrongest-1,,Apurimac,47_evidentialmodiferstrongest,iki,iki,i k i,,camacho2006,,,^ i k i $,Apurimac
