DOCULECT	FORM	SOURCE
Chimborazo	ra 	beukema1975
Chimborazo	ña 	beukema1975
Cuzco	wa	cusihuaman1976
Cuzco	yki	cusihuaman1976
Cuzco	man	cusihuaman1976
Cuzco	tanta-y	cusihuaman1976
Cuzco	ka-ni	cusihuaman1976
Cuzco	saq	cusihuaman1976
Cuzco	waq	cusihuaman1976
Cuzco	y	cusihuaman1976
Cuzco	wanki	cusihuaman1976
Cuzco	nki	cusihuaman1976
Cuzco	wanchis	cusihuaman1976
Cuzco	wan	cusihuaman1976
Cuzco	sunkichis	cusihuaman1976
Cuzco	su	cusihuaman1976
Cuzco	n	cusihuaman1976
Cuzco	manta	cusihuaman1976
Cuzco	ysi	cusihuaman1976
Cuzco	ta	cusihuaman1976
Cuzco	pis, pas	cusihuaman1976
Cuzco	qe	cusihuaman1976
Cuzco	q	cusihuaman1976
Cuzco	neq	cusihuaman1976
Cuzco	lli	cusihuaman1976
Cuzco	paq	cusihuaman1976
Cuzco	puni	cusihuaman1976
Cuzco	ti, li	cusihuaman1976
Cuzco	mu	cusihuaman1976
Cuzco	niray, niraq	cusihuaman1976
Cuzco	raya	cusihuaman1976
Cuzco	man	cusihuaman1976
Cuzco	pasa	cusihuaman1976
Cuzco	naya	cusihuaman1976
Cuzco	cha	cusihuaman1976
Cuzco	ña	cusihuaman1976
Cuzco	nka	cusihuaman1976
Cuzco	suna, sina	cusihuaman1976
Cuzco	sha	cusihuaman1976
Cuzco	ya	cusihuaman1976
Cuzco	cha	cusihuaman1976
Cuzco	mi	cusihuaman1976
Cuzco	si, s	cusihuaman1976
Cuzco	tiya	cusihuaman1976
Cuzco	cha	cusihuaman1976
Cuzco	paya	cusihuaman1976
Cuzco	sha	cusihuaman1976
Cuzco	q; pa	cusihuaman1976
Cuzco	pata	cusihuaman1976
Cuzco	y	cusihuaman1976
Cuzco	ma	cusihuaman1976
Cuzco	ri	cusihuaman1976
Cuzco	ya	cusihuaman1976
Cuzco	nti, sti	cusihuaman1976
Cuzco	y	cusihuaman1976
Cuzco	chu	cusihuaman1976
Cuzco	wan	cusihuaman1976
Cuzco	y	cusihuaman1976
Cuzco	ypari	cusihuaman1976
Cuzco	pi	cusihuaman1976
Cuzco	ku	cusihuaman1976
Cuzco	sapa	cusihuaman1976
Cuzco	chu	cusihuaman1976
Cuzco	na	cusihuaman1976
Cuzco	iru, ira	cusihuaman1976
Cuzco	rqa	cusihuaman1976
Cuzco	sqa	cusihuaman1976
Cuzco	mpa	cusihuaman1976
Cuzco	yoq	cusihuaman1976
Cuzco	chi	cusihuaman1976
Cuzco	rayku	cusihuaman1976
Cuzco	na	cusihuaman1976
Cuzco	n	cusihuaman1976
Cuzco	ymana	cusihuaman1976
Cuzco	pa	cusihuaman1976
Cuzco	sqa	cusihuaman1976
Cuzco	ri	cusihuaman1976
Cuzco	lla	cusihuaman1976
Cuzco	na	cusihuaman1976
Cuzco	qti	cusihuaman1976
Cuzco	taq	cusihuaman1976
Cuzco	kacha	cusihuaman1976
Cuzco	qa	cusihuaman1976
Cuzco	pu	cusihuaman1976
Cuzco	ru	cusihuaman1976
Ferrenafe	ma 	taylor1982
Ferrenafe	yki	taylor1982
Ferrenafe	ray	taylor1982
Ferrenafe	shuray	taylor1982
Ferrenafe	nchik	taylor1982
Ferrenafe	nchik	taylor1982
Ferrenafe	shun	taylor1982
Ferrenafe	tanta-y	taylor1982
Ferrenafe	shuni	taylor1982
Ferrenafe	shayki, shushaq	taylor1982
Ferrenafe	ka-ni	taylor1982
Ferrenafe	shaq	taylor1982
Ferrenafe	marayki	taylor1982
Ferrenafe	rayki	taylor1982
Ferrenafe	shu	taylor1982
Ferrenafe	yki	taylor1982
Ferrenafe	manki	taylor1982
Ferrenafe	nki	taylor1982
Ferrenafe	masha	taylor1982
Ferrenafe	maran	taylor1982
Ferrenafe	shusha	taylor1982
Ferrenafe	shuran	taylor1982
Ferrenafe	ran 	taylor1982
Ferrenafe	mashanchik	taylor1982
Ferrenafe	maranchik	taylor1982
Ferrenafe	nqa	taylor1982
Ferrenafe	n 	taylor1982
Ferrenafe	manchik	taylor1982
Ferrenafe	man	taylor1982
Ferrenafe	shun	taylor1982
Ferrenafe	n 	taylor1982
Ferrenafe	ranchik	taylor1982
Ferrenafe	manta	taylor1982
Ferrenafe	ta 	taylor1982
Ferrenafe	pis	taylor1982
Ferrenafe	q	taylor1982
Ferrenafe	paq	taylor1982
Ferrenafe	taq	taylor1982
Ferrenafe	chi 	taylor1982
Ferrenafe	mu 	taylor1982
Ferrenafe	no, yupaq	taylor1982
Ferrenafe	ski	taylor1982
Ferrenafe	raq	taylor1982
Ferrenafe	man 	taylor1982
Ferrenafe	itU	taylor1982
Ferrenafe	yku	taylor1982
Ferrenafe	rqu	taylor1982
Ferrenafe	rpu	taylor1982
Ferrenafe	rku	taylor1982
Ferrenafe	ya	taylor1982
Ferrenafe	ri	taylor1982
Ferrenafe	mi 	taylor1982
Ferrenafe	shi	taylor1982
Ferrenafe	pa 	taylor1982
Ferrenafe	y 	taylor1982
Ferrenafe	y 	taylor1982
Ferrenafe	chun	taylor1982
Ferrenafe	wan	taylor1982
Ferrenafe	kama	taylor1982
Ferrenafe	pi 	taylor1982
Ferrenafe	ku	taylor1982
Ferrenafe	na 	taylor1982
Ferrenafe	ka	taylor1982
Ferrenafe	ra 	taylor1982
Ferrenafe	sha	taylor1982
Ferrenafe	kuna	taylor1982
Ferrenafe	yxun	taylor1982
Ferrenafe	no 	taylor1982
Ferrenafe	rayku	taylor1982
Ferrenafe	naku	taylor1982
Ferrenafe	ga, la 	taylor1982
Ferrenafe	r 	taylor1982
